"specie";"indiv";"stage";"comp";"lettre_bulk";"ind_bulk";"col_specie";"col_stage";"col_comp";"type";"comp2";"pch_comp";"pch_specie";"col_type";"pch_type";"spe_comp";"comp_stage";"pch_stage";"spe_stage";"spe_ind";"time";"col_spe_stage"
"Pe_2_S3_E";"Pe";"2";"S3";"E";NA;NA;"salmon";"red";"purple";"wild";"E";"18";"19";"blue";"15";"Pe_E";"E_S3";"19";"Pe_S3";"Pe_2";64;"salmon"
"Pe_2_S3_R";"Pe";"2";"S3";"R";NA;NA;"salmon";"red";"green";"wild";"R";"15";"19";"blue";"15";"Pe_R";"R_S3";"19";"Pe_S3";"Pe_2";64;"salmon"
"Pe_2_S3_Rp_1";"Pe";"2";"S3";"Rp";"1";NA;"salmon";"red";"blue";"wild";"Rp";"17";"19";"blue";"15";"Pe_Rp";"Rp_S3";"19";"Pe_S3";"Pe_2";64;"salmon"
"Pe_20_S2_E";"Pe";"20";"S2";"E";NA;NA;"salmon";"blue";"purple";"wild";"E";"18";"19";"blue";"15";"Pe_E";"E_S2";"18";"Pe_S2";"Pe_20";56;"salmon"
"Pe_20_S2_R";"Pe";"20";"S2";"R";NA;NA;"salmon";"blue";"green";"wild";"R";"15";"19";"blue";"15";"Pe_R";"R_S2";"18";"Pe_S2";"Pe_20";56;"salmon"
"Pe_20_S2_Rp";"Pe";"20";"S2";"Rp";NA;NA;"salmon";"blue";"blue";"wild";"Rp";"17";"19";"blue";"15";"Pe_Rp";"Rp_S2";"18";"Pe_S2";"Pe_20";56;"salmon"
"Pe_23_S3_E";"Pe";"23";"S3";"E";NA;NA;"salmon";"red";"purple";"wild";"E";"18";"19";"blue";"15";"Pe_E";"E_S3";"19";"Pe_S3";"Pe_23";64;"salmon"
"Pe_23_S3_R";"Pe";"23";"S3";"R";NA;NA;"salmon";"red";"green";"wild";"R";"15";"19";"blue";"15";"Pe_R";"R_S3";"19";"Pe_S3";"Pe_23";64;"salmon"
"Pe_23_S3_Rp_1";"Pe";"23";"S3";"Rp";"1";NA;"salmon";"red";"blue";"wild";"Rp";"17";"19";"blue";"15";"Pe_Rp";"Rp_S3";"19";"Pe_S3";"Pe_23";64;"salmon"
"Pe_25_S1_E";"Pe";"25";"S1";"E";NA;NA;"salmon";"green";"purple";"wild";"E";"18";"19";"blue";"15";"Pe_E";"E_S1";"17";"Pe_S1";"Pe_25";20;"salmon"
"Pe_25_S1_R";"Pe";"25";"S1";"R";NA;NA;"salmon";"green";"green";"wild";"R";"15";"19";"blue";"15";"Pe_R";"R_S1";"17";"Pe_S1";"Pe_25";20;"salmon"
"Pe_25_S1_Rp";"Pe";"25";"S1";"Rp";NA;NA;"salmon";"green";"blue";"wild";"Rp";"17";"19";"blue";"15";"Pe_Rp";"Rp_S1";"17";"Pe_S1";"Pe_25";20;"salmon"
"Pe_27_S2_E";"Pe";"27";"S2";"E";NA;NA;"salmon";"blue";"purple";"wild";"E";"18";"19";"blue";"15";"Pe_E";"E_S2";"18";"Pe_S2";"Pe_27";56;"salmon"
"Pe_27_S2_R";"Pe";"27";"S2";"R";NA;NA;"salmon";"blue";"green";"wild";"R";"15";"19";"blue";"15";"Pe_R";"R_S2";"18";"Pe_S2";"Pe_27";56;"salmon"
"Pe_3_S3_E";"Pe";"3";"S3";"E";NA;NA;"salmon";"red";"purple";"wild";"E";"18";"19";"blue";"15";"Pe_E";"E_S3";"19";"Pe_S3";"Pe_3";64;"salmon"
"Pe_3_S3_R";"Pe";"3";"S3";"R";NA;NA;"salmon";"red";"green";"wild";"R";"15";"19";"blue";"15";"Pe_R";"R_S3";"19";"Pe_S3";"Pe_3";64;"salmon"
"Pe_3_S3_Rp";"Pe";"3";"S3";"Rp";NA;NA;"salmon";"red";"blue";"wild";"Rp";"17";"19";"blue";"15";"Pe_Rp";"Rp_S3";"19";"Pe_S3";"Pe_3";64;"salmon"
"Pe_32_S1_E";"Pe";"32";"S1";"E";NA;NA;"salmon";"green";"purple";"wild";"E";"18";"19";"blue";"15";"Pe_E";"E_S1";"17";"Pe_S1";"Pe_32";20;"salmon"
"Pe_32_S1_R";"Pe";"32";"S1";"R";NA;NA;"salmon";"green";"green";"wild";"R";"15";"19";"blue";"15";"Pe_R";"R_S1";"17";"Pe_S1";"Pe_32";20;"salmon"
"Pe_32_S1_Rp";"Pe";"32";"S1";"Rp";NA;NA;"salmon";"green";"blue";"wild";"Rp";"17";"19";"blue";"15";"Pe_Rp";"Rp_S1";"17";"Pe_S1";"Pe_32";20;"salmon"
"Pe_33_S3_E";"Pe";"33";"S3";"E";NA;NA;"salmon";"red";"purple";"wild";"E";"18";"19";"blue";"15";"Pe_E";"E_S3";"19";"Pe_S3";"Pe_33";64;"salmon"
"Pe_33_S3_R";"Pe";"33";"S3";"R";NA;NA;"salmon";"red";"green";"wild";"R";"15";"19";"blue";"15";"Pe_R";"R_S3";"19";"Pe_S3";"Pe_33";64;"salmon"
"Pe_33_S3_Rp";"Pe";"33";"S3";"Rp";NA;NA;"salmon";"red";"blue";"wild";"Rp";"17";"19";"blue";"15";"Pe_Rp";"Rp_S3";"19";"Pe_S3";"Pe_33";64;"salmon"
"Pe_36_S2_E";"Pe";"36";"S2";"E";NA;NA;"salmon";"blue";"purple";"wild";"E";"18";"19";"blue";"15";"Pe_E";"E_S2";"18";"Pe_S2";"Pe_36";56;"salmon"
"Pe_36_S2_R";"Pe";"36";"S2";"R";NA;NA;"salmon";"blue";"green";"wild";"R";"15";"19";"blue";"15";"Pe_R";"R_S2";"18";"Pe_S2";"Pe_36";56;"salmon"
"Pe_36_S2_Rp";"Pe";"36";"S2";"Rp";NA;NA;"salmon";"blue";"blue";"wild";"Rp";"17";"19";"blue";"15";"Pe_Rp";"Rp_S2";"18";"Pe_S2";"Pe_36";56;"salmon"
"Pe_4_S2_E";"Pe";"4";"S2";"E";NA;NA;"salmon";"blue";"purple";"wild";"E";"18";"19";"blue";"15";"Pe_E";"E_S2";"18";"Pe_S2";"Pe_4";56;"salmon"
"Pe_4_S2_R";"Pe";"4";"S2";"R";NA;NA;"salmon";"blue";"green";"wild";"R";"15";"19";"blue";"15";"Pe_R";"R_S2";"18";"Pe_S2";"Pe_4";56;"salmon"
"Pe_4_S2_Rp";"Pe";"4";"S2";"Rp";NA;NA;"salmon";"blue";"blue";"wild";"Rp";"17";"19";"blue";"15";"Pe_Rp";"Rp_S2";"18";"Pe_S2";"Pe_4";56;"salmon"
"Pe_5_S1_E";"Pe";"5";"S1";"E";NA;NA;"salmon";"green";"purple";"wild";"E";"18";"19";"blue";"15";"Pe_E";"E_S1";"17";"Pe_S1";"Pe_5";20;"salmon"
"Pe_5_S1_R";"Pe";"5";"S1";"R";NA;NA;"salmon";"green";"green";"wild";"R";"15";"19";"blue";"15";"Pe_R";"R_S1";"17";"Pe_S1";"Pe_5";20;"salmon"
